BILL_CUSTOMER_SID,recency,frequency,monetary,rolling_freq,rolling_monetary,freq_trend,monetary_trend,cluster
35526.0,92,632,244203.6029,632.0,244203.6029,,,0
35779.0,100,6,489.9,6.0,489.9,,,1
35850.0,108,1,4136.16,1.0,4136.16,,,1
35858.0,108,1,-54.11,1.0,-54.11,,,1
35880.0,97,15,2686.1,15.0,2686.1,,,1
36083.0,100,4,3894.21,4.0,3894.21,,,1
36096.0,113,3,703.0,3.0,703.0,,,1
36103.0,98,19,22177.62,19.0,22177.62,,,1
36161.0,366,2,967.442,2.0,967.442,,,2
36257.0,111,4,723.0,4.0,723.0,,,1
36315.0,101,7,70.77,7.0,70.77,,,1
36334.0,107,1,0.0,1.0,0.0,,,1
36338.0,111,5,13515.02,5.0,13515.02,,,1
36360.0,106,1,588.8,1.0,588.8,,,1
36407.0,113,1,-1000.0,1.0,-1000.0,,,1
36423.0,99,2,2088.16,2.0,2088.16,,,1
36434.0,108,2,1637.8,2.0,1637.8,,,1
36436.0,108,4,1773.1,4.0,1773.1,,,1
36449.0,104,8,11869.14,8.0,11869.14,,,1
36462.0,105,5,1772.0,5.0,1772.0,,,1
36466.0,100,1,347.6,1.0,347.6,,,1
36490.0,100,1,2851.2,1.0,2851.2,,,1
36497.0,100,1,387.84,1.0,387.84,,,1
36498.0,99,1,1628.0,1.0,1628.0,,,1
36499.0,105,2,2493.6,2.0,2493.6,,,1
36529.0,105,1,6173.28,1.0,6173.28,,,1
36564.0,113,4,8513.3,4.0,8513.3,,,1
36602.0,97,4,938.81,4.0,938.81,,,1
36613.0,97,29,226993.09,29.0,226993.09,,,1
36616.0,107,2,6006.0,2.0,6006.0,,,1
36868.0,112,5,566.7,5.0,566.7,,,1
36891.0,113,2,892.17,2.0,892.17,,,1
36916.0,100,2,168.07,2.0,168.07,,,1
36947.0,113,3,386.6,3.0,386.6,,,1
36949.0,105,12,938.69,12.0,938.69,,,1
36965.0,100,1,-4.65,1.0,-4.65,,,1
36971.0,105,6,10067.68,6.0,10067.68,,,1
36983.0,101,4,217.48,4.0,217.48,,,1
36991.0,114,9,182.38,9.0,182.38,,,1
37004.0,99,3,1744.15,3.0,1744.15,,,1
37009.0,105,2,426.0,2.0,426.0,,,1
37027.0,107,24,3644.25,24.0,3644.25,,,1
37032.0,98,1,430.07,1.0,430.07,,,1
37034.0,99,15,4030.99,15.0,4030.99,,,1
37038.0,111,2,1573.73,2.0,1573.73,,,1
37041.0,108,6,443.2,6.0,443.2,,,1
37062.0,112,2,21476.0,2.0,21476.0,,,1
37066.0,99,3,1242.0,3.0,1242.0,,,1
